,0,1
20,http://www.nytimes.com/aponline/2015/09/21/us/politics/ap-us-gop-2016-state-of-play.html,[]
21,http://www.nytimes.com/2015/09/21/nytnow/latest-news-pope-francis-alexis-tsipras-and-more.html,[]
22,http://www.nytimes.com/2015/09/21/opinion/use-medicares-muscle-to-lower-drug-prices.html,"[{u'rank': u'1', u'is_major': u'Y', u'value': u'Editorials', u'name': u'subject'}, {u'rank': u'11', u'is_major': u'Y', u'value': u'Drugs (Pharmaceuticals)', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'Y', u'value': u'Medicare', u'name': u'subject'}, {u'rank': u'3', u'is_major': u'N', u'value': u'Health Insurance and Managed Care', u'name': u'subject'}, {u'rank': u'4', u'is_major': u'N', u'value': u'Prices (Fares, Fees and Rates)', u'name': u'subject'}, {u'rank': u'5', u'is_major': u'N', u'value': u'Republican Party', u'name': u'organizations'}, {u'rank': u'6', u'is_major': u'N', u'value': u'Democratic Party', u'name': u'organizations'}, {u'rank': u'7', u'is_major': u'N', u'value': u'Clinton, Hillary Rodham', u'name': u'persons'}, {u'rank': u'8', u'is_major': u'N', u'value': u'Sanders, Bernard', u'name': u'persons'}, {u'rank': u'9', u'is_major': u'N', u'value': u'Obama, Barack', u'name': u'persons'}, {u'rank': u'10', u'is_major': u'N', u'value': u'United States Politics and Government', u'name': u'subject'}]"
23,http://www.nytimes.com/2015/09/21/nyregion/lawmakers-seek-national-park-in-honor-of-stonewall.html,"[{u'rank': u'1', u'is_major': u'Y', u'value': u'Homosexuality and Bisexuality', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'Y', u'value': u'Stonewall Inn (Manhattan, NY, Bar)', u'name': u'organizations'}, {u'rank': u'3', u'is_major': u'Y', u'value': u'Greenwich Village (Manhattan, NY)', u'name': u'glocations'}, {u'rank': u'4', u'is_major': u'Y', u'value': u'Historic Buildings and Sites', u'name': u'subject'}, {u'rank': u'5', u'is_major': u'Y', u'value': u'Gillibrand, Kirsten E', u'name': u'persons'}, {u'rank': u'6', u'is_major': u'Y', u'value': u'Nadler, Jerrold', u'name': u'persons'}, {u'rank': u'7', u'is_major': u'N', u'value': u'Stonewall Riots (1969)', u'name': u'subject'}, {u'rank': u'8', u'is_major': u'N', u'value': u'National Park Service', u'name': u'organizations'}]"
24,http://www.nytimes.com/2015/09/21/us/politics/carly-fiorina-aims-to-foil-attacks-on-her-record-as-a-ceo.html,"[{u'rank': u'1', u'is_major': u'Y', u'value': u'Presidential Election of 2016', u'name': u'subject'}, {u'rank': u'2', u'is_major': u'Y', u'value': u'Fiorina, Carleton S', u'name': u'persons'}, {u'rank': u'3', u'is_major': u'Y', u'value': u'Hewlett-Packard Company', u'name': u'organizations'}, {u'rank': u'4', u'is_major': u'N', u'value': u'Republican Party', u'name': u'organizations'}, {u'rank': u'5', u'is_major': u'N', u'value': u'Trump, Donald J', u'name': u'persons'}, {u'rank': u'6', u'is_major': u'N', u'value': u'Boxer, Barbara', u'name': u'persons'}, {u'rank': u'7', u'is_major': u'N', u'value': u'Political Action Committees', u'name': u'subject'}]"
25,http://www.nytimes.com/politics/first-draft/2015/09/20/hillary-clinton-calls-for-the-u-s-to-accept-more-syrian-refugees/,"[{u'rank': u'1', u'name': u'persons', u'value': u'Clinton, Hillary Rodham'}, {u'rank': u'2', u'name': u'persons', u'value': u'Sanders, Bernard'}, {u'rank': u'3', u'name': u'persons', u'value': u'Trump, Donald J'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2016'}]"
26,http://www.nytimes.com/aponline/2015/09/20/world/europe/ap-eu-kerry-refugees.html,[]
27,http://www.nytimes.com/aponline/2015/09/20/us/politics/ap-us-dem-2016-clinton.html,[]
28,http://www.nytimes.com/aponline/2015/09/20/us/politics/ap-us-obama-.html,[]
29,http://www.nytimes.com/2015/09/20/arts/television/whats-on-tv-sunday.html,"[{u'rank': u'1', u'is_major': u'N', u'value': u'Television', u'name': u'subject'}]"
