,date,longitude,latitude,Sentiment,Unnamed: 0,Unnamed: 0.1,Recommendations,EditorPick,userID,Comment_b
90,2015-07-14-01,-119.7462,36.17,1,19046.0,24366.0,35.0,0.0,46624918.0,1.0
91,2015-07-14-01,-119.7462,36.17,1,19043.0,24325.5,9.5,0.0,68223268.0,1.0
92,2015-07-14-01,-111.8535,40.1135,1,24712.0,24243.0,27.0,1.0,41847830.0,1.0
93,2015-07-14-01,-111.3877,33.7712,1,13397.0,24303.0,0.0,0.0,18238796.0,1.0
94,2015-07-14-01,-106.2371,34.8375,1,22491.0,24203.0,11.0,0.0,48217832.0,1.0
95,2015-07-14-01,-106.2371,34.8375,1,22490.0,24144.0,8.0,0.0,51657090.0,1.0
96,2015-07-14-01,-105.3272,39.0646,1,23604.0,24205.0,4.0,0.0,71638486.0,1.0
97,2015-07-14-01,-97.6475,31.106,0,17639.0,24356.0,4.0,0.0,63418614.0,1.0
98,2015-07-14-01,-97.6475,31.106,1,17640.0,24414.0,14.0,0.0,57123959.0,1.0
99,2015-07-14-01,-97.6475,31.106,1,17634.0,24054.0,21.0,0.0,56369428.0,1.0
100,2015-07-14-01,-93.9196,45.7326,0,16865.0,24323.0,1.0,0.0,15545031.0,1.0
101,2015-07-14-01,-93.9196,45.7326,1,16863.0,24229.0,10.0,0.0,26573106.0,1.0
102,2015-07-14-01,-93.9196,45.7326,1,16862.0,24143.0,11.0,0.0,54609914.0,1.0
103,2015-07-14-01,-93.9196,45.7326,1,16868.0,24412.0,7.0,0.0,56958676.0,1.0
104,2015-07-14-01,-93.9196,45.7326,1,16867.0,24357.0,5.0,0.0,679100.0,1.0
105,2015-07-14-01,-93.9196,45.7326,1,16864.0,24282.0,3.0,0.0,54155350.0,1.0
106,2015-07-14-01,-92.302,38.4623,0,23774.0,24091.0,3.0,0.0,72503726.0,1.0
107,2015-07-14-01,-92.302,38.4623,1,23776.0,24401.0,259.0,1.0,23225364.0,1.0
108,2015-07-14-01,-89.6812,32.7673,1,24965.0,24074.0,9.0,0.0,66889060.0,1.0
109,2015-07-14-01,-89.6812,32.7673,1,24966.0,24268.0,33.0,0.0,56296972.0,1.0
110,2015-07-14-01,-89.0022,40.3363,0,19432.0,24173.0,3.0,0.0,11824949.0,1.0
111,2015-07-14-01,-89.0022,40.3363,1,19433.0,24342.0,3.0,0.0,33241678.0,1.0
112,2015-07-14-01,-86.2604,39.8647,1,23858.0,24182.0,3.0,0.0,55561390.0,1.0
113,2015-07-14-01,-84.5603,43.3504,1,23364.0,24349.0,1.0,0.0,71299546.0,1.0
114,2015-07-14-01,-83.6487,32.9866,0,22185.0,24269.0,15.0,0.0,9552974.0,1.0
115,2015-07-14-01,-82.7755,40.3736,0,24379.0,24258.0,2.0,0.0,3217132.0,1.0
116,2015-07-14-01,-82.7755,40.3736,1,24382.0,24324.0,3.0,0.0,56106027.0,1.0
117,2015-07-14-01,-81.717,27.8333,0,593.0,24278.0,9.0,0.0,33461964.0,1.0
118,2015-07-14-01,-81.717,27.8333,1,588.0,24148.0,9.0,0.0,849386.0,1.0
119,2015-07-14-01,-81.717,27.8333,1,586.0,24127.0,1.0,0.0,33647677.0,1.0
120,2015-07-14-01,-81.717,27.8333,1,594.0,24365.0,30.0,0.0,5362546.0,1.0
121,2015-07-14-01,-81.717,27.8333,1,585.0,24104.0,2.0,0.0,63808206.0,1.0
122,2015-07-14-01,-81.717,27.8333,1,584.0,24051.0,14.0,0.0,23725850.0,1.0
123,2015-07-14-01,-80.9066,33.8191,1,22331.0,24049.0,14.0,0.0,59960191.0,1.0
124,2015-07-14-01,-79.8431,35.6411,1,22790.0,24072.0,4.0,0.0,64707749.0,1.0
125,2015-07-14-01,-79.8431,35.6411,1,22791.0,24300.0,7.0,0.0,31110263.0,1.0
126,2015-07-14-01,-78.2057,37.768,0,13215.0,24379.0,448.0,1.0,52952247.0,1.0
127,2015-07-14-01,-78.2057,37.768,1,13216.0,24385.0,44.0,0.0,61782843.0,1.0
128,2015-07-14-01,-78.2057,37.768,1,13211.3333333,24272.3333333,5.66666666667,0.0,49219585.0,1.0
129,2015-07-14-01,-77.264,40.5773,1,13716.0,24315.0,1.0,0.0,51783517.0,1.0
130,2015-07-14-01,-77.264,40.5773,1,13714.0,24238.0,10.0,0.0,45909032.0,1.0
131,2015-07-14-01,-77.264,40.5773,1,13719.0,24433.0,32.0,0.0,69322.0,1.0
132,2015-07-14-01,-77.0262,38.8964,1,24649.0,24428.0,16.0,0.0,26266170.0,1.0
133,2015-07-14-01,-77.0262,38.8964,1,24647.0,24151.0,5.0,0.0,54115188.0,1.0
134,2015-07-14-01,-77.0262,38.8964,1,24648.0,24195.0,5.0,0.0,4617377.0,1.0
135,2015-07-14-01,-76.7902,39.0724,0,19900.0,24154.0,3.0,0.0,23798839.0,1.0
136,2015-07-14-01,-76.7902,39.0724,0,19899.0,24066.0,7.0,0.0,56305928.0,1.0
137,2015-07-14-01,-76.7902,39.0724,0,19901.0,24381.0,31.0,0.0,50182506.0,1.0
138,2015-07-14-01,-76.7902,39.0724,1,19902.0,24430.0,449.0,0.0,36368516.0,1.0
